바코드스캔,문서명,원드라이브 경로
4000196031150 ,HILTI빗각외경드레싱,https://ehwadia-my.sharepoint.com/:b:/g/personal/icdide_ehwadia_onmicrosoft_com/IQAf2d-0inNzSLBpZ6iuHzu9AVbFeZj96w8VHnVJ5EXimGM?e=UeZp2K
8801230160609 ,실크스크린,https://ehwadia-my.sharepoint.com/:b:/g/personal/icdide_ehwadia_onmicrosoft_com/IQDyPnOd3EVqT68K7o7gvGNqARrYcpvjmsACEIuzp0Pkucc?e=0IBKW0
9702040100 ,PCD 용접 외관 기준,https://ehwadia-my.sharepoint.com/:b:/g/personal/icdide_ehwadia_onmicrosoft_com/IQAXkKmG-_hjRLUa22MKGBDAAamtdb-bmfELqF9Orm9Lmpg?e=SB1A니
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
